Image name,Score,Total time,Inference time,Preprocessing time
00001.jpg,44.951965,319.860256,307.58992,12.270345
00002.jpg,39.534546,291.749824,280.22832,11.521525
00003.jpg,43.930374,289.2968,279.215744,10.081055
00004.jpg,44.219128,289.569408,278.497728,11.071696
00005.jpg,37.1141,290.97088,280.38832,10.582561
00006.jpg,48.54894,292.07296,281.216928,10.856039
00007.jpg,57.400005,302.724096,289.02384,13.700236
00008.jpg,26.814701,310.333504,297.209568,13.123942
00009.jpg,49.60811,313.588064,302.002816,11.585245
00010.jpg,34.48341,309.04752,298.183136,10.86438
00011.jpg,54.53195,321.375648,309.724448,11.651205
00012.jpg,79.401184,315.014112,303.150144,11.863973
00013.jpg,28.042038,317.190528,304.52992,12.660604
00014.jpg,3.9161868,319.326752,310.240064,9.086669
00015.jpg,53.79955,327.000896,314.270432,12.730469
00016.jpg,46.26429,327.754976,314.657728,13.097249
00017.jpg,36.873478,324.968672,312.541344,12.427327
00018.jpg,46.992466,328.56608,313.616608,14.949463
00019.jpg,47.198975,325.00768,312.876128,12.131551
00020.jpg,24.66317,343.564,330.371424,13.192586
00021.jpg,63.1324,340.390656,320.704256,19.686402
00022.jpg,36.399403,334.877856,321.996224,12.881633
00023.jpg,68.09418,332.973504,320.355296,12.618205
00024.jpg,41.42661,338.204256,324.207168,13.997111
00025.jpg,58.720615,340.947872,329.500768,11.447103
00026.jpg,46.661522,339.310912,326.202304,13.108602
00027.jpg,47.924297,343.993216,331.31328,12.679932
00028.jpg,37.664787,337.469472,325.350112,12.119385
00029.jpg,48.62001,339.101568,328.390592,10.710978
00030.jpg,41.709106,334.941664,323.148448,11.793213
00031.jpg,42.14218,339.850656,324.408736,15.441935
00032.jpg,30.826263,354.711904,334.665024,20.046876
00033.jpg,44.244385,342.632416,330.228384,12.404012
00034.jpg,47.82217,351.471328,337.620064,13.851237
00035.jpg,37.57586,355.887488,343.647872,12.239624
00036.jpg,19.242592,344.326528,331.162528,13.164022
00037.jpg,38.222282,347.401152,332.58496,14.816202
00038.jpg,87.71663,355.272512,346.1416,9.1309
00039.jpg,44.168007,355.589504,340.894208,14.695312
00040.jpg,24.73867,354.38768,341.004672,13.383016
00041.jpg,13.874765,353.031264,339.97632,13.054931
00042.jpg,58.113926,362.893888,349.70768,13.186198
00043.jpg,45.4152,351.889696,339.169632,12.720052
00044.jpg,45.719646,351.883168,337.57792,14.305258
00045.jpg,91.01944,347.830336,340.558336,7.271973
00046.jpg,49.97574,351.3696,334.768256,16.601318
00047.jpg,47.16124,358.317024,344.725536,13.591471
00048.jpg,67.84264,351.143968,337.343008,13.800944
00049.jpg,34.70308,350.593152,337.637408,12.955729
00050.jpg,52.588802,346.652736,332.870688,13.782064
00051.jpg,63.771687,363.37808,350.246368,13.131714
00052.jpg,49.650455,343.072928,330.351104,12.721802
00053.jpg,42.51342,354.58992,340.178336,14.411581
00054.jpg,42.26448,364.27392,350.66976,13.604167
00055.jpg,42.475784,357.781952,342.92016,14.861776
00056.jpg,57.486588,348.607264,336.231392,12.375854
00057.jpg,47.529602,355.380576,338.332992,17.047568
00058.jpg,27.936699,353.037568,340.801216,12.236328
00059.jpg,46.77107,358.5472,344.631296,13.915894
00060.jpg,43.993973,362.03712,344.353472,17.683636
00061.jpg,58.582893,353.054048,339.102336,13.951701
00062.jpg,50.77211,357.11856,343.512096,13.606486
00063.jpg,36.268234,358.08496,343.93648,14.148479
00064.jpg,50.89462,362.336992,348.068736,14.26827
00065.jpg,44.786728,356.132544,341.902048,14.230469
00066.jpg,40.087875,363.812448,350.880576,12.931885
00067.jpg,54.35521,358.663168,343.121312,15.54187
00068.jpg,26.69277,360.181632,348.152992,12.028646
00069.jpg,45.325466,352.904448,337.985568,14.918905
00070.jpg,44.302498,357.261344,341.408544,15.852824
00071.jpg,67.456024,358.427936,345.332448,13.0955
00072.jpg,46.59691,356.369696,340.863392,15.506307
00073.jpg,80.96056,357.62464,345.070016,12.554607
00074.jpg,62.566486,370.147744,356.006592,14.141154
00075.jpg,48.621292,354.906496,343.168128,11.738362
00076.jpg,39.68318,368.214272,350.569952,17.644328
00077.jpg,39.448612,365.210816,352.934784,12.276042
00078.jpg,49.146408,358.557408,344.75008,13.807333
00079.jpg,37.948673,357.499808,343.54272,13.957072
00080.jpg,21.34051,357.879072,345.462816,12.41626
00081.jpg,77.02725,354.481376,342.015616,12.465739
00082.jpg,26.226877,383.171424,364.310848,18.860596
00083.jpg,46.53386,359.638912,343.656032,15.98287
00084.jpg,46.382492,359.267904,345.799808,13.468099
