Image name,Score,Total time,Inference time,Preprocessing time
00001.jpg,44.951973,412.204704,405.022784,7.1819
00002.jpg,39.534542,319.648992,312.242816,7.4062
00003.jpg,43.930374,327.149504,320.844,6.3055
00004.jpg,44.219128,438.975712,432.376096,6.5996
00005.jpg,37.1141,436.307584,428.663808,7.6438
00006.jpg,48.548935,342.559488,335.812608,6.7469
00007.jpg,57.400024,395.542208,387.249088,8.2931
00008.jpg,26.81475,369.767104,361.574688,8.1924
00009.jpg,49.608105,428.734592,418.062016,10.6726
00010.jpg,34.483414,449.574208,443.192384,6.3818
00011.jpg,54.531963,320.097792,313.330112,6.7677
00012.jpg,79.40121,323.511808,317.023616,6.4882
00013.jpg,28.04204,327.425088,320.637888,6.7872
00014.jpg,3.9161868,396.2432,390.812288,5.4309
00015.jpg,53.799545,358.876512,352.160096,6.7164
00016.jpg,46.26429,344.121984,336.928704,7.1933
00017.jpg,36.873474,350.7424,343.6592,7.0832
00018.jpg,46.99246,342.5464,334.348992,8.1974
00019.jpg,47.19898,383.891712,377.232704,6.659
00020.jpg,24.663168,349.9192,341.892704,8.0265
00021.jpg,63.132404,446.8128,437.806304,9.0065
00022.jpg,36.399403,372.144992,365.000096,7.1449
00023.jpg,68.09418,358.8368,352.145312,6.6915
00024.jpg,41.42661,364.090912,356.979296,7.1116
00025.jpg,58.720615,378.443008,371.660416,6.7826
00026.jpg,46.66153,369.849088,363.012704,6.8364
00027.jpg,47.924297,429.802592,423.175296,6.6273
00028.jpg,37.664783,337.836992,330.040192,7.7968
00029.jpg,48.620007,328.54,322.347488,6.1925
00030.jpg,41.709106,337.944384,331.6808,6.2636
00031.jpg,42.142185,334.333792,326.783616,7.5502
00032.jpg,30.826267,326.118688,316.571296,9.5474
00033.jpg,44.24439,368.579392,361.8528,6.7266
00034.jpg,47.822174,307.220896,300.485696,6.7352
00035.jpg,37.575867,331.642592,325.405312,6.2373
00036.jpg,19.242592,322.670496,315.8832,6.7873
00037.jpg,38.222282,314.515712,307.421088,7.0946
00038.jpg,87.716606,323.264512,319.263392,4.0011
00039.jpg,44.16801,320.906592,313.957184,6.9494
00040.jpg,24.73867,427.899584,421.553088,6.3465
00041.jpg,13.874767,531.363904,523.917088,7.4468
00042.jpg,58.113934,431.345216,421.398784,9.9464
00043.jpg,45.415203,365.5192,358.829408,6.6898
00044.jpg,45.71964,333.234304,326.257504,6.9768
00045.jpg,91.01943,314.951616,311.531296,3.4203
00046.jpg,49.97574,399.329504,390.563808,8.7657
00047.jpg,47.161236,411.914688,405.195712,6.719
00048.jpg,67.84267,325.205088,318.926304,6.2788
00049.jpg,34.70307,325.228096,318.465504,6.7626
