Image name,Score,Total time,Inference time,Preprocessing time
00001.jpg,0.7482672,997.301184,987.989888,9.3113
00002.jpg,0.7830593,729.702016,717.318912,12.3831
00003.jpg,0.7333956,672.768896,666.42112,6.3478
00004.jpg,0.7946854,676.150592,669.357312,6.7933
00005.jpg,0.7845507,745.081024,738.235392,6.8456
00006.jpg,0.7698332,683.879872,676.904192,6.9757
00007.jpg,0.74120504,679.783296,671.535424,8.2479
00008.jpg,0.79518443,668.632384,660.759872,7.8725
00009.jpg,0.76386756,710.498688,703.931072,6.5676
00010.jpg,0.77812845,669.726208,663.251904,6.4743
00011.jpg,0.7438371,681.013184,673.798592,7.2146
00012.jpg,0.6494482,1340.707584,1333.328256,7.3794
00013.jpg,0.77418745,1059.644416,1048.549696,11.0947
00014.jpg,0.7799655,881.048512,874.712704,6.3358
00015.jpg,0.7361306,697.93152,691.176384,6.7551
00016.jpg,0.78449106,732.829824,725.848512,6.9813
00017.jpg,0.7919926,845.895168,839.012096,6.8831
00018.jpg,0.7866671,1349.084544,1339.25696,9.8276
00019.jpg,0.784225,771.638016,764.599296,7.0387
00020.jpg,0.74881107,881.1408,874.193408,6.9474
00021.jpg,0.7073279,786.29248,776.917888,9.3746
00022.jpg,0.78432244,832.832512,825.868608,6.9639
00023.jpg,0.69248027,894.075392,878.920512,15.1549
00024.jpg,0.78730446,678.143232,671.738176,6.405
00025.jpg,0.73989606,652.632896,645.910912,6.722
00026.jpg,0.7652799,653.28448,645.916672,7.3678
00027.jpg,0.76992357,678.069632,671.325888,6.7437
00028.jpg,0.7996363,638.297408,631.492096,6.8053
00029.jpg,0.75695527,640.292608,634.201024,6.0916
00030.jpg,0.78299904,720.986688,714.731328,6.2554
00031.jpg,0.785033,654.594112,646.947328,7.6468
00032.jpg,0.782725,644.768384,634.594112,10.1743
00033.jpg,0.7675184,689.546368,682.5984,6.948
00034.jpg,0.7504257,631.123968,624.309632,6.8144
00035.jpg,0.7690862,630.705024,624.39648,6.3085
00036.jpg,0.7845328,630.825472,624.268672,6.5568
00037.jpg,0.78412837,654.137216,646.869696,7.2675
00038.jpg,0.5819493,735.637888,731.388608,4.2493
00039.jpg,0.77076423,676.311808,669.207616,7.1042
00040.jpg,0.7819637,729.438912,722.276288,7.1626
00041.jpg,0.7731146,764.737216,758.239488,6.4977
00042.jpg,0.71798706,679.682816,673.069376,6.6134
00043.jpg,0.7713248,686.666112,679.977984,6.6881
00044.jpg,0.7744057,687.879616,680.872,7.0076
00045.jpg,0.5694338,740.485888,736.441216,4.0447
00046.jpg,0.7473617,714.31392,703.765888,10.548
00047.jpg,0.76072216,637.473408,630.978496,6.4949
00048.jpg,0.6962906,659.050688,652.78912,6.2616
00049.jpg,0.7828589,661.09728,654.123904,6.9734
00050.jpg,0.74627095,635.980672,628.9232,7.0575
00051.jpg,0.68429893,632.307968,626.435776,5.8722
00052.jpg,0.7720244,690.282368,683.46112,6.8213
00053.jpg,0.7408936,656.057792,648.434176,7.6236
00054.jpg,0.775527,641.1536,634.704704,6.4489
00055.jpg,0.7683404,648.55968,640.92448,7.6352
00056.jpg,0.7336986,628.24448,621.8192,6.4253
00057.jpg,0.7924458,661.24448,654.211904,7.0326
00058.jpg,0.7938502,740.479872,733.843584,6.6363
00059.jpg,0.7587014,746.417984,737.074176,9.3438
00060.jpg,0.7649174,867.062016,859.417984,7.644
00061.jpg,0.72937393,877.398528,869.834176,7.5643
00062.jpg,0.7415155,842.155008,832.532928,9.6221
00063.jpg,0.77420217,625.036928,618.4592,6.5777
00064.jpg,0.7667501,628.344704,621.65088,6.6938
00065.jpg,0.75647074,630.546496,623.81312,6.7334
00066.jpg,0.774513,761.22048,754.392192,6.8283
00067.jpg,0.74655277,795.35008,786.622528,8.7276
00068.jpg,0.7805444,718.645824,712.230784,6.415
00069.jpg,0.7809293,887.596224,878.187072,9.4091
00070.jpg,0.7778779,821.898368,811.593024,10.3054
00071.jpg,0.69346476,787.046912,779.249024,7.7979
00072.jpg,0.74712783,826.633728,813.858176,12.7755
00073.jpg,0.64181596,871.844672,866.216384,5.6283
00074.jpg,0.69509006,771.666112,763.40352,8.2626
00075.jpg,0.7746673,615.707328,609.20192,6.5054
00076.jpg,0.77326334,657.456384,649.483392,7.973
00077.jpg,0.7454263,768.176576,762.404096,5.7725
00078.jpg,0.7386093,822.50368,815.165696,7.338
00079.jpg,0.7842672,936.368384,929.283776,7.0846
00080.jpg,0.7755226,669.146688,662.131392,7.0153
00081.jpg,0.62825614,788.648384,782.51648,6.1319
00082.jpg,0.7814615,860.92352,850.717504,10.206
00083.jpg,0.7709769,1000.624128,993.622784,7.0013
00084.jpg,0.76620644,880.751104,872.906624,7.8445
00085.jpg,0.7779932,841.347904,835.113984,6.2339
00086.jpg,0.7858263,691.705408,685.024576,6.6808
00087.jpg,0.7330563,887.948416,879.228288,8.7201
00088.jpg,0.7833762,900.243328,892.47968,7.7636
00089.jpg,0.79328537,680.96192,673.824704,7.1372
00090.jpg,0.7191031,816.899776,810.12448,6.7753
00091.jpg,0.75221,725.384128,717.54528,7.8388
00092.jpg,0.76654667,762.181312,755.033472,7.1478
00093.jpg,0.7550354,844.976768,838.239296,6.7375
00094.jpg,0.77433926,775.377024,767.692992,7.684
00095.jpg,0.78353447,774.44768,765.67328,8.7744
00096.jpg,0.78388315,904.594496,895.202176,9.3923
00097.jpg,0.80177224,720.278592,712.921792,7.3568
00098.jpg,0.74213535,818.992512,812.141312,6.8512
00099.jpg,0.7737672,684.200512,676.55968,7.6408
00100.jpg,0.7709709,626.860224,620.121408,6.7388
00101.jpg,0.7996174,625.904512,619.24448,6.66
00102.jpg,0.7762663,623.977408,617.378432,6.599
00103.jpg,0.777726,741.743872,735.268416,6.4755
00104.jpg,0.7585916,623.957504,617.19072,6.7668
00105.jpg,0.78982663,713.010176,706.148928,6.8613
00106.jpg,0.76459575,656.251328,649.160832,7.0905
00107.jpg,0.7887918,664.250112,657.642304,6.6078
00108.jpg,0.73153263,656.488832,648.07328,8.4155
00109.jpg,0.74143505,819.726592,812.54048,7.1861
00110.jpg,0.6918194,758.783232,751.855872,6.9273
00111.jpg,0.775216,639.81888,632.891776,6.9271
00112.jpg,0.7585333,671.772032,665.319424,6.4526
00113.jpg,0.6687558,658.125504,650.206976,7.9185
00114.jpg,0.7501901,631.688576,625.350016,6.3386
00115.jpg,0.740916,614.749312,608.284608,6.4647
00116.jpg,0.765198,621.576576,614.988416,6.5882
00117.jpg,0.73876745,664.395776,657.480192,6.9156
00118.jpg,0.7727457,720.823808,716.416896,4.4069
00119.jpg,0.786878,782.3952,775.577472,6.8177
00120.jpg,0.7568074,1034.858816,1027.795072,7.0637
00121.jpg,0.7982056,818.46688,810.5152,7.9517
00122.jpg,0.6484337,811.714112,805.614016,6.1001
00123.jpg,0.7661703,1092.058112,1082.53504,9.523
00124.jpg,0.7136949,1060.119616,1049.111808,11.0078
00125.jpg,0.76278704,1201.949568,1190.435968,11.5136
00126.jpg,0.74543595,1112.896512,1104.879744,8.0167
00127.jpg,0.70646846,884.362688,876.26688,8.0958
00128.jpg,0.73241585,863.37888,850.194496,13.1844
00129.jpg,0.7569556,807.649792,800.50752,7.1423
00130.jpg,0.7261816,766.00192,757.384704,8.6172
00131.jpg,0.77065605,935.085696,926.21568,8.87
00132.jpg,0.7797501,1053.07232,1043.228672,9.8436
00133.jpg,0.7436164,908.606272,902.123712,6.4826
00134.jpg,0.7079824,936.779008,929.197312,7.5817
00135.jpg,0.749943,1611.489792,1600.537216,10.9526
00136.jpg,0.7374345,1052.609472,1043.6144,8.9951
00137.jpg,0.7797387,1175.707008,1161.31392,14.3931
00138.jpg,0.582036,1063.900928,1058.332096,5.5688
00139.jpg,0.7756273,1281.738752,1271.828224,9.9106
00140.jpg,0.63170654,1420.841216,1412.054528,8.7867
00141.jpg,0.73162246,1173.999616,1164.751488,9.2481
00142.jpg,0.6989759,1360.00064,1352.230528,7.7701
00143.jpg,0.7821082,1115.569664,1106.301952,9.2677
00144.jpg,0.69850105,826.044608,815.648128,10.3965
00145.jpg,0.7623874,888.882816,881.135616,7.7472
00146.jpg,0.7471125,1033.3168,1024.084224,9.2326
00147.jpg,0.79198974,1135.414656,1125.88224,9.5325
00148.jpg,0.76428914,958.504704,937.731008,20.7737
00149.jpg,0.76698375,859.39168,852.357824,7.0339
00150.jpg,0.77877,793.579328,785.1008,8.4785
00151.jpg,0.778158,703.826624,697.310272,6.5163
00152.jpg,0.64159834,735.687296,729.782528,5.9048
00153.jpg,0.7733203,655.667584,648.515904,7.1517
00154.jpg,0.6994874,666.088,658.23712,7.8509
00155.jpg,0.6941674,738.472832,732.954368,5.5184
00156.jpg,0.7820412,670.782912,663.015104,7.7678
00157.jpg,0.7563924,685.575872,678.665984,6.9099
00158.jpg,0.7950779,639.892928,633.252416,6.6405
00159.jpg,0.7150573,636.294016,629.458432,6.8356
00160.jpg,0.78132284,629.094784,622.812288,6.2825
00161.jpg,0.74837625,643.776704,637.035328,6.7414
00162.jpg,0.72923684,673.052672,666.455872,6.5968
00163.jpg,0.7887739,824.397376,815.154304,9.2431
00164.jpg,0.6941541,721.169088,714.307072,6.862
00165.jpg,0.7596026,675.788032,668.637312,7.1507
00166.jpg,0.7763983,711.559872,706.778688,4.7812
00167.jpg,0.7915794,668.538368,661.900608,6.6378
00168.jpg,0.7693264,692.075392,683.699712,8.3757
00169.jpg,0.78186363,672.726272,664.497024,8.2293
00170.jpg,0.7258101,720.079488,710.977728,9.1018
00171.jpg,0.76588035,643.514496,636.747584,6.7669
00172.jpg,0.7616933,683.660224,676.706816,6.9534
00173.jpg,0.7739639,659.24032,651.339712,7.9006
00174.jpg,0.775541,703.950592,697.15008,6.8005
00175.jpg,0.6126455,755.803584,750.3744,5.4292
00176.jpg,0.7137975,709.544896,702.969984,6.5749
